#,Internal Name,Name,Phone,Fax,After Hrs Phone,Address,City,County,State,Zip,Operations Manager,Operations Manager2,Kids' Dentistry OM,RM,RD,SRM,SRM,SRM,SRD,SRD,RP/RVP,TP,Region Name,Professional Corporation,Tax ID,Open Date,Epic Go Live Date
566,Santa Fe,Santa Fe Modern Dentistry,(505)986-8000,(505)982-0374,(505)473-3094,3569 Zafarano Dr,Santa Fe,Santa Fe,NM,87507,Araceli Gutierrez,,,Cynthia Grado,,,,,Brandi Mortensen,,Crystal Carricato,Stephanie Wootan,New Mexico Region,"Santa Fe Modern Dentistry and Orthodontics, LLC",45-3250380,12/15/2011,9/7/2021
567,Albuquerque 5,Cottonwood Smiles Dentistry,(505)244-1111,(505)244-1112,,"3400 New Mexico 528 NW, Ste A-107",Albuquerque,Bernalillo,NM,87114,April Armijo,,,Cynthia Grado,,,,,Brandi Mortensen,,Crystal Carricato,Stephanie Wootan,New Mexico Region,"Cottonwood Smiles Dentistry and Orthodontics, LLC",90-0893804,12/11/2012,7/6/2021
568,Rio Rancho 2,Rio Rancho Modern Dentistry,(505)892-2900,(505)892-2913,,"950 Unser Blvd SE, Ste 100",Rio Rancho,Sandoval,NM,87124,Jourdan Epstein,,,Stefan Bishop,,,,,Brandi Mortensen,,Crystal Carricato,Stephanie Wootan,New Mexico Region,"Rio Rancho Modern Dentistry, LLC",90-1036260,3/4/2014,11/1/2021
570,Meridian 1,Meridian Smiles Dentistry,(208)893-5440,(208)893-5441,,"2274 N Eagle Rd, Ste 130",Meridian,Ada,ID,83646,Don Fredericksen,,,Karianne Wallace,,Elizabeth Riolo,,,,,Alicia Lowry,Nicholas D'Amico,Idaho Utah Region,"Meridian Smiles Dentistry, PC",46-1176304,12/4/2012,3/7/2022
571,Eagle 1,Eagle Smiles Dentistry,(208)895-8555,(208)895-8556,,"6700 N Linder Rd, Ste 132",Meridian,Ada,ID,83646,Kelly Hahn,,,Karianne Wallace,,Elizabeth Riolo,,,,,Alicia Lowry,Nicholas D'Amico,Idaho Utah Region,"Eagle Smiles Dentistry and Orthodontics, PC",46-1799098,3/5/2013,3/7/2022
572,Santa Fe 2,Santa Fe Dentist Office,(505)209-9080,(505)750-9982,,"5131 Main St, Ste 101",Santa Fe,Santa Fe,NM,87507,Cody Crowner,,,Cynthia Grado,,,,,Brandi Mortensen,,Crystal Carricato,Stephanie Wootan,New Mexico Region,"Santa Fe Dentist Office, LLC",38-3991174,5/17/2016,8/2/2021
573,Kennesaw 1,Kennesaw Modern Dentistry,(678)832-0527,(678)835-9729,,"1125 Ernest Barrett Pkwy NW, Building 200, Ste 200",Kennesaw,Cobb,GA,30144,,,,,Jia Sanders,Jackie Denmark,,,,,Olufemi Majekobaje,Jacob Kramer,Georgia Region,"Kennesaw Modern Dentistry, PC",88-0541581,12/3/2024,11/13/2023
574,Albuquerque 7,ABQ Modern Dental Group,(505)323-1004,(505)323-4355,,"12611 Montgomery Blvd NE, Ste A-1",Albuquerque,Bernalillo,NM,87111,Michelle Felten,,,Stefan Bishop,,,,,Brandi Mortensen,,Crystal Carricato,Stephanie Wootan,New Mexico Region,"ABQ Modern Dental Group, LLC",32-0465281,9/1/2015,10/4/2021
576,North Boise,Dentists of Boise,(208)258-7740,(208)350-6895,,"7500 W. State St, Ste 110",Boise,Ada,ID,83714,Elissa Peeler,,,Karianne Wallace,,Elizabeth Riolo,,,,,Alicia Lowry,Nicholas D'Amico,Idaho Utah Region,"Dentists of Boise and Orthodontics, PC",84-4879131,8/17/2020,3/1/2021
577,Long Beach 5 MKD,Long Beach Kids' Dentistry,(562)294-6671,(562)247-9747,,7603 Carson Blvd,Long Beach,Los Angeles,CA,90808,Rosalinda Atkinson,,Rosalinda Atkinson,Ruth Hillman,,Tina Nguyen,,,,,Kamaile Crowell,Maha Said-Shariff,South Los Angeles Region,Name: Steven Wu Dental Corporation,84-3032642,12/23/2019,2/7/2022
578,Long Beach 4,The Dental Office of Long Beach,(562)247-9789,(562)247-9785,,7370 Carson Blvd,Long Beach,Los Angeles,CA,90808,Rosalinda Atkinson,,,Ruth Hillman,,Tina Nguyen,,,,,Kamaile Crowell,Maha Said-Shariff,South Los Angeles Region,Wu and Najafi Dental Corporation,84-3037048,12/17/2019,5/3/2021
579,Wheat Ridge 2,Applewood Modern Dentistry,(720)260-4941,(720)501-6695,,"3244 Youngfield St, Ste H",Wheat Ridge,Jefferson,CO,80033,Andrew Barbato,,,Jeff McGrew,,Alisha Taylor,Caitlin Kenna,,Brandi Mortensen,,,Stephanie Wootan,Central Colorado Region,"Applewood Modern Dentistry, LLP",84-2447857,8/31/2021,8/30/2021
580,Cypress,Cypress Dentist Office,(657)279-8163,(657)276-4779,,6832 Katella Ave,Cypress,Orange,CA,90630,Kevin Berry,,,Vanessa Bradley,,,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,Brian Nguyen D.D.S & Marcos Magar D.D.S,88-0791635,6/14/2022,6/13/2022
581,West Jordan 1,West Jordan Modern Dentistry,(801)282-4142,(801)282-4146,(385)351-3967,"7632 S Campus View Dr, Ste 150",West Jordan,Salt Lake,UT,84084,Emilio Cardenas,,,Marichen Rossevelt,,Elizabeth Riolo,,,,,Alicia Lowry,Nicholas D'Amico,Idaho Utah Region,"West Jordan Modern Dentistry, LLP",36-4712022,1/24/2012,11/1/2021
583,Sandy,Sandy Modern Dentistry,(801)305-3736,(801)335-6465,,"65 E. 10600 S., Ste 104",Sandy,Salt Lake,UT,84070,Mohammed Quraishi,,,Marichen Rossevelt,,Elizabeth Riolo,,,,,Alicia Lowry,Nicholas D'Amico,Idaho Utah Region,"Sandy Modern Dentistry, LLP",84-2139275,7/30/2019,3/1/2021
584,Clinton 1,Clinton Dental Group,(801)728-9000,(801)728-9019,,"1737 N 2000 W, Ste G",Clinton,Davis,UT,84015,Amanda Ward,,Valerie Mitchell,Marichen Rossevelt,,Elizabeth Riolo,,,,,Alicia Lowry,Nicholas D'Amico,Idaho Utah Region,"Clinton Dental Group, LLP",80-0870765,1/3/2013,2/7/2022
586,Layton 1,Layton Smiles Dentistry,(801)771-8000,(801)771-8003,,"820 N Main St, Ste B",Layton,Davis,UT,84041,Aleasa Cooper,,,Marichen Rossevelt,,Elizabeth Riolo,,,,,Alicia Lowry,Nicholas D'Amico,Idaho Utah Region,"Layton Smiles Dentistry, LLP",90-0941378,4/2/2013,8/2/2021
587,Centerville 1,Centerville Dental Group,(801)298-3230,(801)298-3231,,"331 W Parrish Ln, Ste 101",Centerville,Davis,UT,84014,Shiann Hall,,,Marichen Rossevelt,,Elizabeth Riolo,,,,,Alicia Lowry,Nicholas D'Amico,Idaho Utah Region,"Centerville Dental Group, LLP",80-0840767,10/2/2012,3/1/2021
588,Salt Lake City,Salt Lake Modern Dentistry,(801)438-6355,(801)386-5639,,"1028 E. 2100 S., Ste 3",Salt Lake City,Salt Lake,UT,84106,Chelsea Benavides,,,Marichen Rossevelt,,Elizabeth Riolo,,,,,Alicia Lowry,Nicholas D'Amico,Idaho Utah Region,"Salt Lake Modern Dentistry, LLP",35-2642794,3/26/2019,7/6/2021
589,South Jordan,Dentists of South Jordan,(801)701-2120,(801)386-7460,,"11501 S 4000 W, Ste 101",South Jordan,Salt Lake,UT,84009,,Chelsea Benavides,,Marichen Rossevelt,,Elizabeth Riolo,,,,,Alicia Lowry,Nicholas D'Amico,Idaho Utah Region,"Dentists of South Jordan, LLP",36-4881416,1/23/2018,12/6/2021
591,Aurora 8,Aurora Dentist Office,(720)400-7325,(720)501-6696,,"12101 E. Dartmouth Ave., Ste 200",Aurora,Arapahoe,CO,80014,Aleigha Murphy,,,Sarah Quick,,Alisha Taylor,Caitlin Kenna,,Brandi Mortensen,,,Stephanie Wootan,Central Colorado Region,"Aurora Dentist Office and Orthodontics, LLP",84-3014275,12/31/2019,12/6/2021
594,Wheat Ridge,Wheat Ridge Dentists,(303)536-1967,(719)623-4377,,"3727 Wadsworth Blvd, Ste 122",Wheat Ridge,Jefferson,CO,80033,Steven Schutte,,,Jeff McGrew,,Alisha Taylor,Caitlin Kenna,,Brandi Mortensen,,,Stephanie Wootan,Central Colorado Region,"Wheat Ridge Dentists, LLP",36-4903584,11/13/2018,12/6/2021
595,Fort Collins 3,Harmony Smiles Dentistry,(970)672-4911,(970)744-5194,,"356 E. Harmony Rd., #6-A",Fort Collins,Larimer,CO,80525,Emma Berg,,,Stacey Burk,,Alisha Taylor,Caitlin Kenna,,Brandi Mortensen,,Stephanie Ross,Stephanie Wootan,Northern Colorado Region,"Harmony Smiles Dentistry, LLP",84-2288319,11/8/2019,10/4/2021
596,Stapleton 2,Dentists of Central Park,(720)403-8351,(720)222-0676,,"10355 E Martin Luther King Jr Blvd, Ste 110",Denver,Denver,CO,80238,Claudia Nava-Garcia,,,Sarah Quick,,Alisha Taylor,Caitlin Kenna,,,,,Stephanie Wootan,Central Colorado Region,"Dentists of Central Park, LLP",30-1001070,11/21/2017,12/6/2021
597,Greenwood Village,Dentists of Greenwood,(720)613-3081,(720)499-1066,,"4930 S Yosemite St, Ste D1B",Greenwood Village,Arapahoe,CO,80111,Marta Rizova,,,Sarah Quick,,Alisha Taylor,Caitlin Kenna,,Brandi Mortensen,,,Stephanie Wootan,Central Colorado Region,"Dentists of Greenwood, LLP",35-2603739,12/19/2017,6/7/2021
598,Denver 4,Belleview Dentist Office,(303)214-4274,(303)990-5796,,6951 E Belleview Ave,Denver,Denver,CO,80237,Rachel Duran,,,Sarah Quick,,Alisha Taylor,Caitlin Kenna,,Brandi Mortensen,,,Stephanie Wootan,Central Colorado Region,"Belleview Dentist Office, LLP",32-0500916,6/6/2017,8/2/2021
599,Aurora 7,Aurora Village Dental Group,(303)595-5454,(303)305-7990,,"2250 S Parker Rd, Ste 150",Denver,Denver,CO,80231,Mayra Hernandez,,,Sarah Quick,,Alisha Taylor,Caitlin Kenna,,Brandi Mortensen,,,Stephanie Wootan,Central Colorado Region,"Aurora Village Modern Dentistry, LLP",30-1049230,7/3/2018,6/7/2021
600,Hialeah 2,Dentists of Hialeah,(786)206-9017,(786)207-4232,,"3645 West 84th St, Unit 2",Hialeah,Miami-Dade,FL,33018,Patricia Carrillo,,,Sofia Endara,,Armando Borroel,,,,,Daris Hondoy,Jacob Kramer,South Florida Region,"Dentists of Hialeah, PA",99-4558164,2/4/2025,10/16/2023
601,Las Vegas 18,Spring Valley Modern Dentistry,(702)879-9043,(702)936-3645,,8402 W Warm Springs Rd,Las Vegas,Clark,NV,89113,Kassadie Zullo,,,Mounu Nakayama,,Mechelle Quinories,Nichelle Venable,Tiffany Magana,,,Catherine Wild,Maha Said-Shariff,South Las Vegas Region,"Brown Spring Valley Modern Dentistry, PC",87-4020583,3/1/2022,2/28/2022
603,North Hollywood,NoHo Modern Dentistry,(818)616-7817,(818)638-9608,,10930 Magnolia Blvd,North Hollywood,Los Angeles,CA,91601,Tatiana Vigil,,,Alex Ranu,,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Rijal Dental Corporation,93-2783318,10/7/2024,8/14/2023
604,Spring 3,Spring Market Dental Group,(281)255-2224,(281)255-2228,,"24230 Kuykendahl Rd, Ste 300",Spring,Harris,TX,77375,Carin Hendricks,,,,Sara Allen,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Harris Spring Dental Group, PC",46-5160988,7/21/2014,12/6/2021
606,Conroe 2,Lake Conroe Dentistry,(936)760-2800,(936)760-2801,,"3915 W Davis St, Ste 160",Conroe,Montgomery,TX,77304,"Miranda ""Mindy"" Bonin",,,Zenia Castillo,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Lake Conroe Dentistry, PC",46-2933105,8/25/2013,6/7/2021
607,Spring 4,Rayford Modern Dentistry,(281)528-0008,(281)288-0241,,"3550 Rayford Rd, Ste 210",Spring,Montgomery,TX,77386,Bill Bender,,Jessica Medrano,,Sara Allen,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Rayford Modern Dentistry, PC",47-4904684,12/29/2015,3/7/2022
608,Santa Rosa,Dentists of Santa Rosa,(707)867-1310,(707)921-1398,,370 Coddingtown Center,Santa Rosa,Sonoma,CA,95401,Taylor Downing,,,Alina Cepernich,,Robert Bengtson,,,,,Toreano Norris,Nicholas D'Amico,Northern CA - Bay Area Region,Bautista and Patel Dental Corporation,87-1081123,2/22/2022,2/21/2022
609,Houston 7,Briargrove Smiles Dentistry,(713)783-1095,(713)783-1250,,1850 Fountain View Dr,Houston,Harris,TX,77057,Kerry Wright,,,,Marcie Sprayberry,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Briargrove Smiles Dentistry, PC",46-3786113,3/21/2014,6/7/2021
610,Surprise 4,Surprise Modern Dentistry,(623)777-3329,(623)900-2676,,"13733 N Prasada Pkwy, Ste 108",Surprise,Maricopa,AZ,85388,Linda Smith,,,Tracy Kaus,,Jaycee Campbell,Jaycee Campbell,,,,Vicky Dyck,Stephanie Wootan,North West Arizona Region,"Surprise Modern Dentistry, LLP",87-3620244,1/18/2022,1/17/2022
611,College Station,College Station Modern Dentistry,(979)690-7201,(979)690-7396,,"915 William D Fitch Pkwy, Ste 300",College Station,Brazos,TX,77845,Amanda McAliley,,,,Marcie Sprayberry,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"College Station Modern Dentistry, PC",47-1879889,12/4/2014,8/2/2021
612,Houston 8,Champions Modern Dentistry,(281)880-9469,(281)880-9481,,5620 FM 1960 Rd W,Houston,Harris,TX,77069,Lili Zhu,,,Zenia Castillo,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Champions Modern Dentistry, PC",46-3735422,12/30/2013,8/2/2021
613,Katy 3,Highlands Dental Group and Orthodontics,(281)578-2023,(281)578-3075,,1553 S Mason Rd,Katy,Harris,TX,77450,Astrid Rodriguez,,,,Marcie Sprayberry,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Katy Highlands Dental Group, PC",46-5766919,8/1/2014,12/6/2021
614,Pico Rivera,Dentists of Pico Rivera,(562)394-1322,(562)472-0977,,8812 Whittier Blvd.,Pico Rivera,Los Angeles,CA,90660,Aura Rodriguez,,,,Katherine Novales,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Camacho and Zaklama Dental Corporation,86-3234679,9/2/2021,9/1/2021
615,Pearland 2,Pearland Dentists,(281)997-1943,(281)997-5401,,"2708 Pearland Pkwy, Ste 220",Pearland,Brazoria,TX,77581,Ashia Hurt,,,Zenia Castillo,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Pearland Dentists, PC",47-1183487,9/2/2014,8/2/2021
616,Tomball,Tomball Smiles Dentistry,(281)256-7554,(281)256-7559,,"28602 Tomball Pkwy, Ste B",Tomball,Harris,TX,77375,Marisa VonBank,,,Erik Jaramillo,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Tomball Smiles Dentistry, PC",47-2822599,4/24/2015,6/7/2021
618,Bryan,Bryan Modern Dentistry,(979)776-1040,(979)776-1048,,"3001 Wildflower Dr, Ste 511",Bryan,Brazos,TX,77802,Amanda McAliley,,,,Marcie Sprayberry,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Bryan Modern Dentistry, PC",47-1896219,12/31/2014,8/2/2021
619,Colorado Springs 7,Dublin Modern Dentistry,(719)359-8295,(719)623-4642,,"5985 Dublin Blvd, Unit 110",Colorado Springs,El Paso,CO,80923,Stephanie Theodoran,,Stephanie Theodoran,Dave Donohoue,,Alisha Taylor,Caitlin Kenna,,Brandi Mortensen,,Stephanie Ross,Stephanie Wootan,Southern Colorado Region,"Dublin Kids Dental Group and Orthodontics, LLP",87-1109857,10/19/2021,10/18/2021
620,Cypress 3,Cypress Crossroads Dental Group,(281)876-0131,(281)876-0141,,"14041 Grant Rd, Ste 110",Cypress,Harris,TX,77429,Jasmine Salter,,,Erik Jaramillo,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Cypress Crossroads Dental Group, PC",47-2352810,3/5/2015,4/5/2021
621,Shenandoah,The Woodlands Modern Smiles Dentistry,(281)859-4624,(281)859-4630,,"1500 Research Forest Dr, Ste 220",Shenandoah,Montgomery,TX,77381,Chelsea Reynolds,,,,Sara Allen,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Shenandoah Smiles Dentistry, PC",47-3083515,5/7/2015,3/7/2022
622,League City 2,League City Smiles Dentistry,(713)346-9997,(713)678-0637,,"2555 E League City Pkwy, Ste 160",League City,Galveston,TX,77573,,Elaine De La Garza,Selena Demps-Miller,Katherin Navarro,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"League City Smiles Dentistry, PC",47-4424241,4/19/2016,7/11/2022
623,Baytown,Baytown Modern Dentistry,(281)545-5165,(281)547-7195,,"6331 Garth Rd, Ste 100",Baytown,Harris,TX,77521,Brittany Fisher,,,Zenia Castillo,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Baytown Modern Dentistry, PC",81-1718687,8/10/2016,12/6/2021
624,Kingwood,Lake Houston Smiles Dentistry,(281)204-2313,(281)407-3695,,"4521 Kingwood Dr, Ste 180",Kingwood,Harris,TX,77345,Ana Hardy,,,,Sara Allen,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Kingwood Smiles Dentistry, PC",81-5249867,11/21/2017,8/2/2021
625,Fulshear,Fulshear Modern Dentistry,(281)204-2156,(281)547-7340,,"5102 FM 1463, Ste 100",Katy,Fort Bend,TX,77494,Yliana Brooks,,,,Marcie Sprayberry,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Fulshear Modern Dentistry, PC",81-3802222,6/28/2017,12/6/2021
626,Lake Jackson,Lake Jackson Modern Dentistry,(979)583-6005,(979)583-6680,,"90 Oak Dr, Ste C",Lake Jackson,Brazoria,TX,77566,Caitlin Peairson,,,Katherin Navarro,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Lake Jackson Modern Dentistry, PC",47-4421075,10/27/2015,5/2/2022
627,Katy 5,Morton Ranch Smiles Dentistry,(281)712-4840,(281)407-3731,,"22720 Morton Ranch Rd, Ste 100",Katy,Harris,TX,77449,Patricia Umanzor,,Jeffrey Potter,,Marcie Sprayberry,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Morton Ranch Smiles Dentistry, PC",82-1371913,7/31/2017,5/2/2022
628,Cypress 4,North Cypress Smiles Dentistry,(281)204-2158,(281)547-7437,,"28610 Hwy 290, Ste F01",Cypress,Harris,TX,77433,Angela Baumgardner,,,Erik Jaramillo,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"North Cypress Smiles Dentistry, PC",81-4587977,3/7/2017,6/7/2021
629,Spring 5,Spring Klein Dentistry,(281)791-0043,(281)547-7342,,"6710 Spring Stuebner Rd, Ste 700",Spring,Harris,TX,77389,Jason Reese,,Amanda Stockton,Erik Jaramillo,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,Spring Klein Dentistry PC,81-5485515,7/11/2017,12/6/2021
630,Houston 10,Meyerland Modern Dentistry,(281)503-4804,(281)573-0775,,4950 Beechnut St.,Houston,Harris,TX,77096,Gautami Tenneti,,,Katherin Navarro,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Meyerland Modern Dentistry, PC",84-3897769,3/10/2020,4/5/2021
631,Sugar Land 1,Sugar Land Modern Dentistry,(832)595-2100,(832)595-0830,(832)586-7174,19984 Southwest Fwy,Sugar Land,Fort Bend,TX,77479,Linda Cross,,,Ryan Means,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Sugar Land Modern Dentistry, PC",27-3945804,2/21/2011,5/2/2022
632,Missouri City 1,Sienna Modern Dentistry,(281)778-5355,(281)778-5357,(281)710-9106,"8740 Hwy 6, Ste 150",Missouri City,Fort Bend,TX,77459,Clayton Wright,,,Ryan Means,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Sienna Missouri City Modern Dentistry, PC",45-2092903,6/14/2011,12/6/2021
633,Katy 1,Katy Modern Dentistry,(281)392-8222,(281)392-7722,,"25621 Nelson Way, Ste 110",Katy,Fort Bend,TX,77494,Sydney Rhodes,,,,Marcie Sprayberry,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Katy Modern Dentistry and Orthodontics, PC",45-4864660,7/10/2012,5/2/2022
634,Pearland 1,Pearland Modern Dentistry,(713)340-1418,(713)340-1704,,"2811 Business Center Dr, Ste 105",Pearland,Brazoria,TX,77584,Tiffany Tinney,,Faith Hankinson,Zenia Castillo,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Pearland Modern Dentistry, PC",45-4857026,6/25/2012,7/11/2022
635,The Woodlands,The Woodlands Modern Dentistry,(281)298-2433,(281)298-2932,(832)663-3147,"9595 Six Pines Dr, Ste 1370",The Woodlands,Montgomery,TX,77380,Mary Trujillo,,,,Sara Allen,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"The Woodlands Modern Dentistry and Orthodontics, PC",45-2492724,10/11/2011,8/2/2021
636,Friendswood,Friendswood Modern Dentistry,(281)992-0038,(281)993-5161,,"1780 S Friendswood Dr, Ste A",Friendswood,Galveston,TX,77546,,,,Katherin Navarro,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Friendswood Modern Dentistry, PC",47-5186364,12/15/2015,8/2/2021
637,Clear Lake 1,Clear Lake Modern Dentistry,(281)990-9400,(281)990-9200,(281)786-4631,1000 Bay Area Blvd Ste A,Houston,Harris,TX,77058,Toni Lambert,,Nathan Dalmolin,Katherin Navarro,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Clear Lake Modern Dentistry, PC",45-3080175,1/6/2012,5/2/2022
638,League City 1,League City Modern Dentistry,(281)332-0980,(281)332-1042,,"1620 FM 646 RD W, Ste D",Dickinson,Galveston,TX,77539,Tammy Goodwin,,,Katherin Navarro,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"League City Modern Dentistry and Orthodontics, PC",46-0702599,10/16/2012,7/11/2022
639,Sugar Land 2,Sugar Land Dental Group,(281)565-0077,(281)565-1022,(281)201-3598,"510 Hwy 6, Ste 110",Sugar Land,Fort Bend,TX,77478,Essence Williams,,,Ryan Means,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Sugar Land Dental Group, PC",45-3564810,12/19/2011,5/2/2022
640,Cypress 1,Cypress Dental Group,(281)304-1319,(281)304-1851,,"17814 Spring Cypress Rd, Ste 101",Cypress,Harris,TX,77429,Sara Coleman,,,Erik Jaramillo,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Cypress Dental Group and Orthodontics, PC",45-4891598,9/5/2012,8/2/2021
641,Cypress 2,Cypress Dentistry,(281)861-0015,(281)861-0026,,"9727 Barker Cypress Rd, Ste 600",Cypress,Harris,TX,77433,Jessica Banahene,,,Erik Jaramillo,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Cypress Springs Dentistry, PC",47-1193430,10/1/2014,5/2/2022
642,Houston 5,Summerwood Smiles Dentistry,(281)372-0216,(281)372-0217,,"12661 W Lake Houston Pkwy, Ste G",Houston,Harris,TX,77044,Marina Robles,,,Katherin Navarro,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Summerwood Smiles Dentistry, PC",47-1778274,11/13/2014,3/7/2022
643,Conroe 1,Woods Dental Group,(936)271-5440,(936)271-5441,,"3600 FM 1488, Ste 90",Conroe,Montgomery,TX,77384,Corinna Miller,Jason Reese,Linnea Nahlin,Zenia Castillo,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Woods Dental Group and Orthodontics, PC",46-0692917,10/22/2012,3/7/2022
644,Humble 1,Atascocita Modern Dentistry,(281)812-7550,(281)812-7553,,7315 FM 1960 Rd E,Humble,Harris,TX,77346,Marcus Gautreaux,,Diandra Guin,,Sara Allen,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Atascocita Modern Dentistry and Orthodontics, PC",45-4857304,6/15/2012,5/2/2022
645,Katy 2,Grand Lakes Dental Group,(281)574-5005,(281)574-5085,,"6501 S Fry Rd, Ste 800",Katy,Fort Bend,TX,77494,Joseph Casey,,,,Marcie Sprayberry,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Grand Lakes Dental Group and Orthodontics, PC",46-1571183,2/11/2013,3/7/2022
646,Spring 1,Spring Cypress Modern Dentistry,(281)320-1150,(281)320-1115,,"8707 Spring Cypress Rd, Ste A",Spring,Harris,TX,77379,Samantha Truong Williams,,,Erik Jaramillo,,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Spring Cypress Modern Dentistry, PC",45-4891747,9/27/2012,6/7/2021
647,Houston 2,Oak Forest Dental Group,(713)263-7913,(713)263-7503,,"1354 W 43rd St, Ste C",Houston,Harris,TX,77018,Douglas Roth,,Felicia Snerley,,Marcie Sprayberry,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Oak Forest Dental Group and Orthodontics, PC",46-1163237,12/17/2012,3/7/2022
648,Houston 3,The Heights Modern Dentistry,(713)868-4488,(713)861-1116,,"1911 Taylor St, Ste D",Houston,Harris,TX,77007,Tiffany Smith,,,,Marcie Sprayberry,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"The Heights Modern Dentistry, PC",45-4892002,2/1/2013,4/5/2021
650,Spring 2,Spring Smiles Dental Group,(281)350-1837,(281)353-2490,,"2150 FM 2920 Rd, Ste A",Spring,Harris,TX,77388,"Christopher ""Topher"" Blankenship",,,,Sara Allen,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Hanover Smiles Dental Group and Orthodontics, PC",46-2180298,5/20/2013,6/7/2021
651,Downey 2,Downey Modern Dentistry,(562)273-2050,(562)247-9788,,"12214 Lakewood Blvd, Ste 102",Downey,Los Angeles,CA,90242,Ryan Marko,,,Diana Vales,,Tina Nguyen,,,,,Kamaile Crowell,Maha Said-Shariff,South Los Angeles Region,Pessah Dental Corporation,84-2945981,9/9/2020,5/3/2021
652,Montgomery,Dentists of Montgomery,(936)206-7069,(936)647-2385,,"20042 Eva St, Ste 100",Montgomery,Montgomery,TX,77356,,Kimberly Houlihan,,,Marcie Sprayberry,Kevin Rich,,,Jen Moss,,Michael Hurley,Nicole Brown,Gulf Coast TX Region,"Dentists of Montgomery, PC",82-2990081,5/1/2018,6/7/2021
